Leading proteins,Protein,Protein names,Gene names
A0A087WRM8,A0A087WRM8,LisH domain and HEAT repeat-containing protein KIAA1468,2310035C23Rik;Kiaa1468
A0A087WSJ3,A0A087WSJ3,UPF0545 protein C22orf39 homolog,2510002D24Rik
E9Q0E2,E9Q0E2,Protein TALPID3,2700049A03Rik;Talpid3
A0A087WP74,A0A087WP74,Uncharacterized protein KIAA1551,2810474O19Rik;Kiaa1551
A0A087WP74,A0A087WP74,Uncharacterized protein KIAA1551,2810474O19Rik;Kiaa1551
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z1D3,D3Z1D3,,3425401B19Rik
D3Z7B7,D3Z7B7,Platelet receptor Gi24,4632428N05Rik
D3Z1F7,D3Z1F7,Putative monooxygenase p33MONOX,4833439L19Rik;P33monox
Q8C5X1,Q8C5X1,,4931406P16Rik
Q8C5X1,Q8C5X1,,4931406P16Rik
Q8C5X1,Q8C5X1,,4931406P16Rik
Q8C5X1,Q8C5X1,,4931406P16Rik
F8WGX2,F8WGX2,Uncharacterized protein KIAA0226-like,5031414D18Rik;Kiaa0226l
B1APX2,B1APX2,Uncharacterized protein KIAA0930 homolog,5031439G07Rik
B1APX2,B1APX2,Uncharacterized protein KIAA0930 homolog,5031439G07Rik
B1APX2,B1APX2,Uncharacterized protein KIAA0930 homolog,5031439G07Rik
B1APX2,B1APX2,Uncharacterized protein KIAA0930 homolog,5031439G07Rik
B1APX2,B1APX2,Uncharacterized protein KIAA0930 homolog,5031439G07Rik
D3YUS2,D3YUS2,Uncharacterized protein KIAA0513,6430548M08Rik;Kiaa0513
D3YUS2,D3YUS2,Uncharacterized protein KIAA0513,6430548M08Rik;Kiaa0513
Q0VAW6,Q0VAW6,Uncharacterized protein C18orf25 homolog,8030462N17Rik
Q0VAW6,Q0VAW6,Uncharacterized protein C18orf25 homolog,8030462N17Rik
A0A338P7E1,A0A338P7E1,,9030025P20Rik;Gm3435;Ermard
D3YW20,D3YW20,UPF0505 protein C16orf62 homolog,9030624J02Rik
D3YW20,D3YW20,UPF0505 protein C16orf62 homolog,9030624J02Rik
D3YW20,D3YW20,UPF0505 protein C16orf62 homolog,9030624J02Rik
D3Z623,D3Z623,,9330159F19Rik
D3Z623,D3Z623,,9330159F19Rik
Q8BM26,Q8BM26,,9530003J23Rik
A0A0A0MQD4,A0A0A0MQD4,Keratinocyte-associated transmembrane protein 2,9530068E07Rik;Kct2
G3UW55,G3UW55,,A230065H16Rik
G3UW55,G3UW55,,A230065H16Rik
Q61838,Q61838,Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit,A2m
Q61838,Q61838,Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit,A2m
Q6GQT1,Q6GQT1,Alpha-2-macroglobulin-P,A2mp
Q80WR5,Q80WR5,UPF0688 protein C1orf174 homolog,A430005L14Rik
Q80WR5,Q80WR5,UPF0688 protein C1orf174 homolog,A430005L14Rik
Q3UTB2,Q3UTB2,,A630001G21Rik
Q8BY68,Q8BY68,,A630033H20Rik
P58742,P58742,Aladin,Aaas
Q8R2R3,Q8R2R3,Alpha- and gamma-adaptin-binding protein p34,Aagab
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
Q3UHJ0,Q3UHJ0,AP2-associated protein kinase 1,Aak1
B1AZF9,B1AZF9,Serine/threonine-protein kinase LMTK1,Aatk
B1AZF9,B1AZF9,Serine/threonine-protein kinase LMTK1,Aatk
Q8K449,Q8K449,ATP-binding cassette sub-family A member 9,Abca9
P21447,P21447,Multidrug resistance protein 1A,Abcb1a
P21447,P21447,Multidrug resistance protein 1A,Abcb1a
A0A0G2JDM4,A0A0G2JDM4,Multidrug resistance protein 3,Abcb4
Q61102,Q61102,"ATP-binding cassette sub-family B member 7, mitochondrial",Abcb7
Q9CXJ4,Q9CXJ4,"ATP-binding cassette sub-family B member 8, mitochondrial",Abcb8
Q9CXJ4,Q9CXJ4,"ATP-binding cassette sub-family B member 8, mitochondrial",Abcb8
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
O35379,O35379,Multidrug resistance-associated protein 1,Abcc1
A0A0R4J015,A0A0R4J015,Canalicular multispecific organic anion transporter 2,Abcc3
E9Q467,E9Q467,,Abcc4
E9Q467,E9Q467,,Abcc4
E9Q467,E9Q467,,Abcc4
E9Q467,E9Q467,,Abcc4
E9Q467,E9Q467,,Abcc4
E9Q467,E9Q467,,Abcc4
Q9R1X5,Q9R1X5,Multidrug resistance-associated protein 5,Abcc5
Q9R1X5,Q9R1X5,Multidrug resistance-associated protein 5,Abcc5
Q9R1X5,Q9R1X5,Multidrug resistance-associated protein 5,Abcc5
Q9R1X5,Q9R1X5,Multidrug resistance-associated protein 5,Abcc5
E9PUE8,E9PUE8,ATP-binding cassette sub-family C member 9,Abcc9
E9PUE8,E9PUE8,ATP-binding cassette sub-family C member 9,Abcc9
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q6P542,Q6P542,ATP-binding cassette sub-family F member 1,Abcf1
Q99LE6,Q99LE6,ATP-binding cassette sub-family F member 2,Abcf2
A0A338P6Q4,A0A338P6Q4,ATP-binding cassette sub-family F member 3,Abcf3
Q5F2F2,Q5F2F2,Abhydrolase domain-containing protein 15,Abhd15
Q5F2F2,Q5F2F2,Abhydrolase domain-containing protein 15,Abhd15
Q5F2F2,Q5F2F2,Abhydrolase domain-containing protein 15,Abhd15
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
B7ZCU2,B7ZCU2,Abl interactor 1,Abi1
A0A087WNU9,A0A087WNU9,Abl interactor 2,Abi2
A0A087WNU9,A0A087WNU9,Abl interactor 2,Abi2
F6RXN4,F6RXN4,ABI gene family member 3,Abi3
Q59IW9,Q59IW9,,Abi3bp
Q59IW9,Q59IW9,,Abi3bp
Q59IW9,Q59IW9,,Abi3bp
P00520-4,P00520-4,Tyrosine-protein kinase ABL1,Abl1
P00520-4,P00520-4,Tyrosine-protein kinase ABL1,Abl1
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
F8VQH0,F8VQH0,Non-specific protein-tyrosine kinase;Abelson tyrosine-protein kinase 2,Abl2
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q9C4,E9Q9C4,Actin-binding LIM protein 1,Ablim1
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
E9Q0W6,E9Q0W6,Actin-binding LIM protein 2,Ablim2
Q69ZX8,Q69ZX8,Actin-binding LIM protein 3,Ablim3
Q69ZX8,Q69ZX8,Actin-binding LIM protein 3,Ablim3
Q69ZX8,Q69ZX8,Actin-binding LIM protein 3,Ablim3
Q69ZX8,Q69ZX8,Actin-binding LIM protein 3,Ablim3
Q5SSL4,Q5SSL4,Active breakpoint cluster region-related protein,Abr
Q8BUZ1,Q8BUZ1,Actin-binding Rho-activating protein,Abra
Q8BUZ1,Q8BUZ1,Actin-binding Rho-activating protein,Abra
Q8BUZ1,Q8BUZ1,Actin-binding Rho-activating protein,Abra
Q8BUZ1,Q8BUZ1,Actin-binding Rho-activating protein,Abra
Q5SWU9,Q5SWU9,Acetyl-CoA carboxylase 1;Biotin carboxylase,Acaca
E9Q4Z2,E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb
E9Q4Z2,E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb
E9Q4Z2,E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb
E9Q4Z2,E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb
E9Q4Z2,E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb
E9Q4Z2,E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb
A0A0R4J083,A0A0R4J083,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadl
A0A0R4J083,A0A0R4J083,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadl
P50544,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadvl
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
D4AFX6,D4AFX6,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
A2ADA6,A2ADA6,,Acap3
A2ADA6,A2ADA6,,Acap3
A0A0R4J079,A0A0R4J079,Golgi resident protein GCP60,Acbd3
A0A2I3BRB9,A0A2I3BRB9,Acyl-CoA-binding domain-containing protein 5,Acbd5
A2AIG8-2,A2AIG8-2,1-aminocyclopropane-1-carboxylate synthase-like protein 1,Accs
Q5EE38,Q5EE38,Adrenocortical dysplasia protein,Acd
Q5EE38,Q5EE38,Adrenocortical dysplasia protein,Acd
Q5EE38,Q5EE38,Adrenocortical dysplasia protein,Acd
Q5EE38,Q5EE38,Adrenocortical dysplasia protein,Acd
P09470-2,P09470-2,"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form",Ace
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39,F6RJ39,,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
B8JJ92;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
B8JJ92;F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
B8JJ92;F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
B8JJ92,B8JJ92,,Acin1
F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
B8JJ92;F6RJ39;Q9JIX8-4,Q9JIX8-4,Apoptotic chromatin condensation inducer in the nucleus,Acin1
A0A0R4J0J4,A0A0R4J0J4,Atypical chemokine receptor 1,Ackr1
A0A0R4J0J4,A0A0R4J0J4,Atypical chemokine receptor 1,Ackr1
A0A0R4J0J4,A0A0R4J0J4,Atypical chemokine receptor 1,Ackr1
A0A0R4J0J4,A0A0R4J0J4,Atypical chemokine receptor 1,Ackr1
A0A0R4J0J4,A0A0R4J0J4,Atypical chemokine receptor 1,Ackr1
P56485,P56485,Atypical chemokine receptor 3,Ackr3
P56485,P56485,Atypical chemokine receptor 3,Ackr3
P56485,P56485,Atypical chemokine receptor 3,Ackr3
Q3TS02,Q3TS02,ATP-citrate synthase,Acly
Q3TS02,Q3TS02,ATP-citrate synthase,Acly
Q3TS02,Q3TS02,ATP-citrate synthase,Acly
Q3TS02,Q3TS02,,Acly
O55137,O55137,Acyl-coenzyme A thioesterase 1,Acot1
O55137,O55137,Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 6;Acyl-coenzyme A thioesterase 3;Acyl-coenzyme A thioesterase 4;Acyl-coenzyme A thioesterase 5,Acot1;Acot5;Acot6;Acot3;Acot4
F6SS52,F6SS52,Acyl-coenzyme A thioesterase 11,Acot11
F6SS52,F6SS52,Acyl-coenzyme A thioesterase 11,Acot11
D3Z041,D3Z041,Long-chain-fatty-acid--CoA ligase 1,Acsl1
D3Z041,D3Z041,Long-chain-fatty-acid--CoA ligase 1,Acsl1
Q8BGA8,Q8BGA8,"Acyl-coenzyme A synthetase ACSM5, mitochondrial",Acsm5
A2AQN5,A2AQN5,"Acetyl-coenzyme A synthetase, cytoplasmic",Acss2
A2AQN5,A2AQN5,"Acetyl-coenzyme A synthetase, cytoplasmic",Acss2
A2AQN5,A2AQN5,"Acetyl-coenzyme A synthetase, cytoplasmic",Acss2
A2AQN5,A2AQN5,"Acetyl-coenzyme A synthetase, cytoplasmic",Acss2
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Beta-actin-like protein 2;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actbl2;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Beta-actin-like protein 2;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actbl2;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Beta-actin-like protein 2;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actbl2;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",Actb;Actg1;Actc1;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Gm17087;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Gm17087;Actc1;Acta2;Actg2;Acta1
P60710;P63260;P68033;P68134,P68134,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actb;Actg1;Gm17087;Actc1;Acta2;Actg2;Acta1
P68033;P68134,P68134,"Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, alpha skeletal muscle",Actc1;Acta2;Acta1
P68033;P68134,P68134,"Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, alpha skeletal muscle",Actc1;Acta2;Acta1
P68033,P68033,"Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",Actc1;Acta2;Actg2
P68033;P68134,P68134,"Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",Actc1;Acta2;Actg2;Acta1
